Bank Name,city,stalp,zip,RepDte,Reporting Year,Employees,Total Assets(000),CashBalance(000),Total Liabilities/Capital (000),Liabilities(000),Deposits
1ST CAPITAL BANK,Salinas,CA,93901,9/30/2019,2019,85,637456,53476,637456,571121,565655
1ST CAPITAL BANK,Salinas,CA,93901,9/30/2020,2020,94,749022,45680,749022,676634,661575
1ST CAPITAL BANK,Salinas,CA,93901,9/30/2021,2021,93,1009352,131582,1009352,930792,926395
1ST COMMUNITY BANK,Sherrard,IL,61281,9/30/2019,2019,18,64436,7275,64436,57779,57575
1ST COMMUNITY BANK,Sherrard,IL,61281,9/30/2020,2020,18,68303,14220,68303,61477,57268
1ST COMMUNITY BANK,Sherrard,IL,61281,9/30/2021,2021,17,66909,14550,66909,59859,59693
1ST EQUITY BANK,Skokie,IL,60076,9/30/2019,2019,12,95211,19382,95211,80418,75039
1ST EQUITY BANK,Skokie,IL,60076,9/30/2020,2020,10,141545,28951,141545,117899,101378
1ST EQUITY BANK,Skokie,IL,60076,9/30/2021,2021,10,140756,32317,140756,117814,104078
1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,9/30/2019,2019,4,40877,7973,40877,32220,31131
1ST STATE BANK OF MASON CITY,Mason City,IL,62664,9/30/2019,2019,5,25319,1712,25320,21384,21370
1ST STATE BANK OF MASON CITY,Mason City,IL,62664,9/30/2020,2020,7,30790,1861,30790,26898,22886
1ST STATE BANK OF MASON CITY,Mason City,IL,62664,9/30/2021,2021,4,28801,1162,28801,26611,26541
ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,9/30/2019,2019,99,335290,35626,335290,289120,287606
ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,9/30/2020,2020,83,359791,49879,359791,311253,309628
ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,9/30/2021,2021,90,327989,76889,327989,277870,276197
ABINGTON BANK,Abington,MA,2351,9/30/2019,2019,76,577410,15854,577410,489082,447077
ABINGTON BANK,Abington,MA,2351,9/30/2020,2020,75,592791,66628,592791,500717,462363
ABINGTON BANK,Abington,MA,2351,9/30/2021,2021,76,597215,110561,597215,501173,477642
ADAMS COMMUNITY BANK,Adams,MA,1220,9/30/2019,2019,100,618218,11664,618218,561414,499525
ADAMS COMMUNITY BANK,Adams,MA,1220,9/30/2020,2020,107,706909,31644,706909,645403,603420
ADAMS COMMUNITY BANK,Adams,MA,1220,9/30/2021,2021,111,861094,93479,861094,796190,764693
ADIRONDACK BANK,Utica,NY,13501,9/30/2019,2019,194,901728,64245,901727,831852,744460
ADIRONDACK BANK,Utica,NY,13501,9/30/2020,2020,181,1012361,128811,1012361,940481,822948
ADIRONDACK BANK,Utica,NY,13501,9/30/2021,2021,184,1062202,227590,1062202,987274,878733
ADMIRALS BANK,Boston,MA,2116,9/30/2019,2019,56,216403,23546,216402,181579,162913
ALBANY BANK AND TRUST COMPANY NATIONAL ASSOCIATION,Chicago,IL,60625,9/30/2019,2019,67,610338,109205,610338,511370,508078
ALBANY BANK AND TRUST COMPANY NATIONAL ASSOCIATION,Chicago,IL,60625,9/30/2020,2020,70,686145,213657,686145,583447,580080
ALBANY BANK AND TRUST COMPANY NATIONAL ASSOCIATION,Chicago,IL,60625,9/30/2021,2021,63,702350,181265,702350,596859,594116
